O|Security|Endpoint & Workplace Security|Cortex XDR|Palo Alto
O|Security|Endpoint & Workplace Security|Carbon Black Application Control|VMware
O|Security|Endpoint & Workplace Security|Carbon Black Endpoint Detection and Response|VMware
O|Security|Endpoint & Workplace Security|Vulnerability Management|Tenable
O|Security|Endpoint & Workplace Security|Defender for Office 365|Microsoft
O|Security|Endpoint & Workplace Security|Email Filtering|Cisco
O|Security|Endpoint & Workplace Security|Offensive Security & Penetration Testing|BA
C|Security|AI Security
C|Security|Security Operations
O|Security|Security Operations|Sentinel|Microsoft
O|Security|Security Operations|Managed Detection and Response|SecurityHQ
O|Security|Security Operations|Managed Endpoint Detection and Response|SecurityHQ
O|Security|Security Operations|Managed Vulnerability Management|SecurityHQ
O|Security|Security Operations|Managed Vulnerability Management|Tenable
O|Security|Security Operations|Managed Firewall|SecurityHQ
O|Security|Security Operations|Incident Response|SecurityHQ
O|Security|Security Operations|Penetration Testing|SecurityHQ
O|Security|Security Operations|Managed XDR|Microsoft
P|Applications & Automation|DIGITAL INNOVATION · D3 w/ BA|Digital Innovation|D3 w/ BA
C|Applications & Automation|Business Apps (CRM / ERP)
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Sales (D365)|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Sales Enterprise Edition|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Customer Service (D365)|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Customer Service Ent. (attach)|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Customer Service Enterprise|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Contact Center|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Customer Experience (D365)|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Customer Insights (D365)|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Dynamics 365 Customer Voice Usl|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|CRM Envisioning Workshop|Microsoft
O|Applications & Automation|Business Apps (CRM / ERP)|Fitgap Assessment|Microsoft
C|Applications & Automation|Workflow Automation
O|Applications & Automation|Workflow Automation|Power Automate|Microsoft
C|Applications & Automation|Digital Experience
C|Applications & Automation|Agentic Process Automation
C|Applications & Automation|Integration & Low-Code
O|Applications & Automation|Integration & Low-Code|Power Apps|Microsoft
O|Applications & Automation|Integration & Low-Code|Common Data Service Database Capacity|Microsoft
O|Applications & Automation|Integration & Low-Code|Common Data Service Log Capacity|Microsoft
P|End User Computing|DIGITAL FOUNDATION · D3|Digital Foundation|D3
C|End User Computing|Modern Endpoint Management
O|End User Computing|Modern Endpoint Management|Intune|Microsoft
O|End User Computing|Modern Endpoint Management|Configuration Manager|Microsoft
O|End User Computing|Modern Endpoint Management|Windows 11|Microsoft
